 primalDim  primalFOM  dualDim  dualFOM  sameProj 
      3    0.100658      3    0.154149    0
      3    0.215545      2    0.251171    0
      3    0.135148      3    0.156132    0
      2    0.0947808      2    0.0947808    2
      2    0.107779      2    0.107779    2
      2    0.201049      3    0.176695    0
      2    0.055704      2    0.055704    2
      3    0.18372      3    0.0480311    3
      3    0.144595      3    0.102641    0
      2    0.12546      3    0.118304    0
      2    0.119      2    0.119    2
      4    0.124206      2    0.166252    0
      3    0.0202907      3    0.13754    3
      2    0.141077      2    0.141077    2
      3    0.15148      3    0.136135    0
      2    0.210748      3    0.187875    0
      3    0.181469      3    0.16569    0
      2    0.229452      2    0.229452    2
      3    0.144661      3    0.196282    0
      2    0.0259922      2    0.0259922    2
      2    0.0180391      2    0.0180391    2
      2    0.120736      2    0.120736    2
      2    0.159174      2    0.159174    2
      2    0.0377998      2    0.0377998    2
      3    0.1068      3    0.136135    3
      3    0.137659      3    0.180783    0
      3    0.223927      3    0.176695    0
      3    0.152797      3    0.200162    3
      3    0.24139      3    0.202644    0
      3    0.0876727      2    0.160242    0
      4    0.108851      3    0.139759    0
      3    0.154391      3    0.146213    3
      3    0.121863      4    0.176278    0
      4    0.156055      3    0.117324    0
      4    0.176789      3    0.166846    0
      2    0.166252      2    0.166252    2
      2    0.0614362      2    0.0614362    2
      3    0.169097      3    0.101511    0
      2    0.0963709      2    0.0963709    2
      4    0.213343      3    0.0919726    0
      4    0.132445      3    0.125862    0
      2    0.0641651      2    0.0641651    2
      3    0.139759      3    0.0447145    3
      2    0.1325      2    0.1325    2
      2    0.216656      4    0.203549    0
      3    0.0318922      3    0.0540572    3
      2    0.143247      2    0.143247    2
      3    0.135014      4    0.150956    0
      3    0.182664      3    0.141943    0
      4    0.128907      4    0.157668    0
      3    0.139713      3    0.139759    3
      2    0.107779      2    0.107779    2
      2    0.0402443      2    0.0402443    2
      2    0.146319      2    0.146319    2
      2    0.170413      3    0.127078    0
      3    0.169251      2    0.298479    0
      2    0.203418      3    0.165922    0
      3    0.0810608      3    0.0919726    0
      4    0.125387      3    0.127983    0
      3    0.134706      3    0.123394    3
      2    0.161339      4    0.150956    0
      3    0.104157      3    0.0794089    3
      4    0.185768      3    0.185195    0
      3    0.198822      4    0.101774    0
      3    0.10101      3    0.111614    0
      4    0.132496      4    0.101774    4
      2    0.0256564      2    0.0256564    2
      2    0.0668443      2    0.0668443    2
      3    0.0543965      2    0.0827053    0
      4    0.152529      3    0.173843    0
      3    0.105152      3    0.161459    3
      4    0.137906      3    0.088565    0
      3    0.193122      4    0.276856    0
      4    0.166823      3    0.161459    0
      4    0.185486      3    0.117324    0
      2    0.215507      4    0.183946    0
      4    0.173322      4    0.155463    0
      3    0.127684      3    0.123394    0
      4    0.179593      3    0.194313    0
      3    0.152934      2    0.242037    0
      2    0.146319      3    0.140582    0
      2    0.0377998      2    0.0377998    2
      3    0.224496      3    0.229178    0
      3    0.222935      3    0.20659    0
      3    0.159154      4    0.193103    0
      4    0.169267      3    0.139759    0
      2    0.017481      2    0.017481    2
      3    0.0536586      2    0.152691    0
      2    0.0508682      2    0.0508682    2
      2    0.0180391      2    0.0180391    2
      2    0.112987      3    0.0480311    0
      2    0.0859328      2    0.0859328    2
      2    0.126483      2    0.126483    2
      2    0.110358      2    0.110358    2
      2    0.167871      2    0.167871    2
      3    0.162029      2    0.166252    0
      4    0.138039      3    0.0881298    0
      4    0.164179      3    0.174285    0
      2    0.0621844      2    0.0621844    2
      3    0.165626      3    0.112984    0
      3    0.166656      3    0.06849    3
      3    0.148278      3    0.209179    3
      3    0.0794957      3    0.125862    0
      3    0.0936659      3    0.0401857    3
      4    0.151733      3    0.156132    0
      4    0.106981      2    0.136007    0
      4    0.100738      2    0.128153    0
      3    0.232616      4    0.201845    0
      3    0.153904      4    0.14631    0
      4    0.134885      3    0.141128    0
      2    0.141705      2    0.141705    2
      3    0.10569      3    0.0588259    0
      3    0.166082      3    0.0813226    0
      2    0.0701246      2    0.0701246    2
      4    0.209442      3    0.10847    0
      4    0.172403      3    0.101511    0
      3    0.0727722      4    0.123255    0
      3    0.113254      3    0.148301    0
      4    0.191498      4    0.200128    0
      4    0.206255      3    0.167077    0
      2    0.156727      4    0.0910298    0
      3    0.106958      3    0.0214802    3
      3    0.0952481      3    0.0455663    3
      2    0.0668443      2    0.0668443    2
      4    0.130138      3    0.0836532    0
      2    0.194851      2    0.194851    2
      3    0.0669113      4    0.176278    0
      2    0.0353497      2    0.0353497    2
      4    0.238214      4    0.174309    0
      4    0.235635      4    0.157668    4
      2    0.126008      2    0.126008    2
      2    0.0872112      2    0.0872112    2
      3    0.159409      3    0.131831    3
      3    0.217614      3    0.182687    0
      3    0.172288      4    0.0695251    0
      2    0.0180391      2    0.0180391    2
      2    0.0988625      2    0.0988625    2
      2    0.0995618      2    0.0995618    2
      4    0.222166      3    0.220804    0
      2    0.117051      2    0.117051    2
      3    0.0753466      3    0.171169    3
      4    0.200808      3    0.0540572    0
      2    0.201191      2    0.201191    2
      3    0.0788159      3    0.051133    3
      3    0.0371047      3    0.0706999    3
      3    0.244319      4    0.194883    0
      4    0.206295      3    0.206962    0
      3    0.0554564      2    0.194399    0
      4    0.170265      2    0.193712    0
      2    0.0849906      2    0.0849906    2
      3    0.141089      3    0.164992    3
      3    0.232613      4    0.164106    0
      3    0.0825961      3    0.0472238    3
